Date,Time,Purity,Rate
28-04-2025,18:05:14,999,95108
29-04-2025,18:05:56,999,96011
30-04-2025,18:06:16,999,94361
02-05-2025,18:08:56,999,93954
05-05-2025,18:01:17,999,95282
06-05-2025,18:08:39,999,96888
07-05-2025,18:08:07,999,97426
08-05-2025,18:03:59,999,97030
09-05-2025,18:05:19,999,96416
12-05-2025,18:03:48,999,93076
13-05-2025,18:09:55,999,94344
14-05-2025,18:05:36,999,93859
15-05-2025,18:05:20,999,92365
16-05-2025,18:06:49,999,92301
19-05-2025,18:00:30,999,93785
20-05-2025,18:07:14,999,93807
21-05-2025,18:00:38,999,95309
22-05-2025,18:06:48,999,95516
23-05-2025,18:07:20,999,95471
26-05-2025,18:04:55,999,95813
27-05-2025,18:08:59,999,95152
28-05-2025,18:09:39,999,95700
29-05-2025,18:04:02,999,95525
30-05-2025,18:01:36,999,95355
02-06-2025,18:05:04,999,96680
03-06-2025,18:00:04,999,96867
04-06-2025,18:00:27,999,96747
05-06-2025,18:09:06,999,98163
06-06-2025,18:08:37,999,97145
09-06-2025,18:05:05,999,95864
10-06-2025,18:00:27,999,96359
11-06-2025,18:00:43,999,96235
12-06-2025,18:08:00,999,97455
13-06-2025,18:06:18,999,99058
16-06-2025,18:02:03,999,99373
17-06-2025,18:08:36,999,99147
18-06-2025,18:03:58,999,99454
19-06-2025,18:08:25,999,99261
20-06-2025,18:04:10,999,98691
23-06-2025,18:02:35,999,99348
24-06-2025,18:09:10,999,97263
25-06-2025,18:08:00,999,97157
26-06-2025,18:02:11,999,97159
27-06-2025,18:00:54,999,95784
30-06-2025,18:03:04,999,95886
01-07-2025,18:02:55,999,97430
02-07-2025,18:07:09,999,97480
03-07-2025,18:03:31,999,97337
04-07-2025,18:04:37,999,97021
07-07-2025,18:01:32,999,96596
08-07-2025,18:00:44,999,96972
09-07-2025,18:08:01,999,96085
10-07-2025,18:09:17,999,97046
11-07-2025,18:06:10,999,97511
14-07-2025,18:07:30,999,98303
15-07-2025,18:04:32,999,97916
16-07-2025,18:00:42,999,97500
17-07-2025,18:02:28,999,97453
18-07-2025,18:05:34,999,98243
21-07-2025,18:01:21,999,98896
22-07-2025,18:06:07,999,99508
23-07-2025,18:02:21,999,100533
24-07-2025,18:05:27,999,98880
25-07-2025,18:03:24,999,98388
28-07-2025,18:05:49,999,98446
29-07-2025,18:02:57,999,98296
30-07-2025,18:02:58,999,99017
31-07-2025,18:01:18,999,98534
01-08-2025,18:06:53,999,98253
04-08-2025,18:06:33,999,100167
05-08-2025,18:03:56,999,100076
06-08-2025,18:02:05,999,100452
07-08-2025,18:01:20,999,100703
08-08-2025,18:07:13,999,100942
11-08-2025,18:09:25,999,99957
12-08-2025,18:08:34,999,99670
13-08-2025,18:06:31,999,100097
14-08-2025,18:00:51,999,100023
18-08-2025,18:04:57,999,99623
19-08-2025,18:03:14,999,99168
20-08-2025,18:06:08,999,98946
21-08-2025,18:09:39,999,99147
22-08-2025,18:03:15,999,99358
25-08-2025,18:07:39,999,100488
26-08-2025,18:07:20,999,100884
